wl,n
0.4000,2.5699339484984
0.4145,2.5329970809397
0.4295,2.5030416753539
0.4450,2.4781489849884
0.4611,2.4569596297262
0.4778,2.438689164242
0.4951,2.4227742061349
0.5130,2.4087967483656
0.5316,2.3963761158072
0.5508,2.3853421738649
0.5708,2.3753998684833
0.5914,2.3665019445716
0.6128,2.3584381212068
0.6350,2.3511185893296
0.6580,2.3444649691017
0.6818,2.3384084821195
0.7065,2.3328674235223
0.7321,2.3277954532209
0.7586,2.3231503690594
0.7860,2.318893758264
0.8145,2.3149646873959
0.8439,2.3113630971928
0.8745,2.3080281900646
0.9061,2.3049612061395
0.9389,2.3021229690809
0.9729,2.2994977014729
1.008,2.2970766392242
1.045,2.2947964286517
1.082,2.2927553203616
1.122,2.2907790790605
1.162,2.289008279621
1.204,2.2873386602628
1.248,2.2857686057313
1.293,2.2843256676054
1.340,2.2829695921748
1.388,2.2817216309433
1.439,2.2805260246626
1.491,2.2794258775673
1.545,2.278392623708
1.600,2.2774386759658
1.658,2.2765252861033
1.718,2.2756664305234
1.781,2.2748454619145
1.845,2.2740842266766
1.912,2.2733546771083
1.981,2.2726650916667
2.053,2.2720026738289
2.127,2.2713738306395
2.204,2.2707671939416
2.284,2.2701807642826
2.366,2.2696190222394
2.452,2.2690660594749
2.541,2.2685266406474
2.633,2.2679984176034
2.728,2.2674790369004
2.827,2.2669610294368
2.929,2.2664475705366
3.035,2.2659314881306
3.145,2.2654108220131
3.259,2.2648835078138
3.377,2.2643473989414
3.499,2.2638002838005
3.626,2.2632354631043
3.757,2.2626550816557
3.893,2.262052304814
4.034,2.2614246272585
4.180,2.2607694227115
4.331,2.2600839527895
4.488,2.259360728331
4.650,2.2586012697869
4.818,2.2577976517708
4.993,2.2569413848899
5.174,2.2560334417423
5.361,2.2550698786097
5.555,2.2540411818486
5.756,2.2529425142016
5.964,2.251768752628
6.180,2.2505085413623
6.404,2.2491555051922
6.636,2.2477028447931
6.876,2.2461433091556
7.125,2.2444622807077
7.382,2.2426578273211
7.650,2.2406986938401
7.926,2.2385958597376
8.213,2.2363146143038
8.511,2.2338405806221
8.819,2.231166983676
9.138,2.2282687157272
9.468,2.2251272169693
9.811,2.2217017053941
10.17,2.2179344738402
10.53,2.2139620787055
10.92,2.2094288229057
11.31,2.2046452622891
11.72,2.1993328169667
12.14,2.1935732643187
12.58,2.1871749061921
13.04,2.1800621571393
13.51,2.1723177868792
14.00,2.1636937217874

wl,k
0.40,1.92E-03
0.41,1.80E-03
0.42,1.68E-03
0.43,1.57E-03
0.44,1.47E-03
0.45,1.37E-03
0.46,1.28E-03
0.47,1.20E-03
0.48,1.12E-03
0.49,1.05E-03
0.50,9.80E-04
0.51,9.16E-04
0.52,8.56E-04
0.53,8.00E-04
0.54,7.48E-04
0.55,6.99E-04
0.56,6.54E-04
0.57,6.11E-04
0.58,5.71E-04
0.59,5.34E-04
0.60,4.99E-04
0.61,4.66E-04
0.62,4.36E-04
0.63,4.08E-04
0.64,3.81E-04
0.65,3.56E-04
0.66,3.33E-04
0.67,3.11E-04
0.68,2.91E-04
0.69,2.72E-04
0.70,2.54E-04
0.71,2.38E-04
0.72,2.22E-04
0.73,2.08E-04
0.74,1.94E-04
0.75,1.81E-04
0.76,1.70E-04
0.77,1.59E-04
0.78,1.48E-04
0.79,1.39E-04
0.80,1.30E-04
0.81,1.21E-04
0.82,1.13E-04
0.83,1.06E-04
0.84,9.89E-05
0.85,9.24E-05
0.86,8.64E-05
0.87,8.08E-05
0.88,7.55E-05
0.89,7.06E-05
0.90,6.60E-05
0.91,6.17E-05
0.92,5.77E-05
0.93,5.39E-05
0.94,5.04E-05
0.95,4.71E-05
0.96,4.40E-05
0.97,4.12E-05
0.98,3.85E-05
0.99,3.60E-05
1.00,0.00E+00
